Year,Date,Tested ,Confirmed
2020,02/27,23,0
2020,02/28,13,1
2020,02/29,32,1
2020,03/01,22,2
2020,03/02,48,8
2020,03/03,45,5
2020,03/04,81,13
2020,03/05,62,9
2020,03/06,57,8
2020,03/07,58,6
2020,03/08,37,6
2020,03/09,98,9
2020,03/10,169,13
2020,03/11,149,24
2020,03/12,253,15
2020,03/13,357,19
2020,03/14,323,22
2020,03/15,199,19
2020,03/16,291,18
